Ticker,Sector,Close,Change_1D_pct,Volume_Today,Avg_Vol_20D,Vol_Ratio
INDIANB,Financial Services,875.7,-0.07,1024938,3859471,0.27
IEX,Financial Services,123.56,-0.5,4450498,4398486,1.01
INDHOTEL,Consumer Services,710.45,1.62,2180255,2103764,1.04
IOC,Oil Gas & Consumable Fuels,146.11,0.47,10914734,13602668,0.8
IOB,Financial Services,35.23,-0.98,5707619,4681698,1.22
IRCTC,Consumer Services,524.0,0.78,1059039,971305,1.09
IRFC,Financial Services,100.13,-0.31,10851913,8954339,1.21
IREDA,Financial Services,127.96,1.19,6367481,7582453,0.84
IGL,Oil Gas & Consumable Fuels,169.99,-0.46,1251730,3542800,0.35
INDUSTOWER,Telecommunication,414.3,0.11,4521418,6424816,0.7
INDUSINDBK,Financial Services,938.75,0.27,1006904,1755074,0.57
NAUKRI,Consumer Services,1006.8,-1.01,1289445,2696307,0.48
INFY,Information Technology,1127.5,-2.61,16776572,14030581,1.2
INOXWIND,Capital Goods,89.33,-1.84,10706734,16243151,0.66
INTELLECT,Information Technology,757.3,-0.99,263728,458782,0.57
INDIGO,Services,5011.8,2.73,1129035,1114628,1.01
IGIL,Services,355.7,-0.41,186382,571920,0.33
IKS,Information Technology,1673.4,2.27,136521,139530,0.98
IPCALAB,Healthcare,1543.6,0.32,125607,240958,0.52
JBCHEPHARM,Healthcare,2198.5,0.13,340362,273597,1.24
JKCEMENT,Construction Materials,5540.0,1.84,60476,79896,0.76
JBMA,Automobile and Auto Components,706.5,1.96,2760666,1831506,1.51
JKTYRE,Automobile and Auto Components,397.25,0.79,618494,1906089,0.32
JMFINANCIL,Financial Services,125.31,-0.99,2996752,3775418,0.79
JSWCEMENT,Construction Materials,130.72,0.42,1794341,9704548,0.18
JSWDULUX,Consumer Durables,3230.9,-0.02,20960,42946,0.49
JSWENERGY,Power,575.55,0.62,3494640,3352553,1.04
JSWINFRA,Services,307.95,3.2,7196092,2664174,2.7
JSWSTEEL,Metals & Mining,1293.9,0.52,685833,1361503,0.5
JAINREC,Metals & Mining,371.15,-1.28,2364323,3831468,0.62
JPPOWER,Power,18.16,0.28,55341400,155591123,0.36
J&KBANK,Financial Services,162.9,-0.03,3376214,4113452,0.82
JINDALSAW,Capital Goods,264.06,2.16,3322788,2761261,1.2
JSL,Metals & Mining,707.0,-2.87,881000,725986,1.21
JINDALSTEL,Metals & Mining,1131.9,-0.34,1279525,1037506,1.23
JIOFIN,Financial Services,244.1,0.46,9451252,11452881,0.83
JUBLFOOD,Consumer Services,422.95,-0.05,1608382,4823570,0.33
JUBLINGREA,Chemicals,646.0,-0.48,114850,319322,0.36
JUBLPHARMA,Healthcare,973.45,-2.07,80424,111985,0.72
JWL,Capital Goods,279.5,0.05,2386997,2388736,1.0
JYOTICNC,Capital Goods,700.65,-0.88,577497,2170115,0.27
KPRMILL,Textiles,1186.4,13.72,5589132,625274,8.94
KEI,Capital Goods,5630.5,-0.23,243429,237206,1.03
KPITTECH,Information Technology,745.95,-0.8,724566,1266136,0.57
KAJARIACER,Consumer Durables,1164.1,0.71,173227,210440,0.82
KPIL,Construction,1367.9,-0.1,291794,306747,0.95
KALYANKJIL,Consumer Durables,382.95,-0.03,2485796,9986681,0.25
KARURVYSYA,Financial Services,296.75,0.02,1739347,2567979,0.68
KAYNES,Capital Goods,3385.5,4.22,1870413,1063918,1.76
KEC,Construction,525.8,1.45,929852,920490,1.01
KFINTECH,Financial Services,906.85,0.93,2039224,1059885,1.92
KIRLOSENG,Capital Goods,1983.5,-0.26,510052,375864,1.36
KOTAKBANK,Financial Services,402.95,-0.38,9341993,14201676,0.66
KIMS,Healthcare,789.75,-0.84,453911,611237,0.74
LTF,Financial Services,286.9,-2.46,3512092,5054342,0.69
LTTS,Information Technology,3407.8,-1.33,49684,117547,0.42
LGEINDIA,Consumer Durables,1607.6,1.82,612712,537870,1.14
LICHSGFIN,Financial Services,550.15,-0.16,1362382,1296282,1.05
LTFOODS,Fast Moving Consumer Goods,386.45,1.16,603910,542926,1.11
LTM,Information Technology,3998.0,0.06,392347,468877,0.84
LT,Construction,4190.0,-0.42,1484075,1972425,0.75
LATENTVIEW,Information Technology,309.3,1.83,962384,801044,1.2
LAURUSLABS,Healthcare,1368.8,-0.07,1650698,1683991,0.98
THELEELA,Consumer Services,457.6,0.39,224958,353472,0.64
LEMONTREE,Consumer Services,111.86,3.13,6104081,3181588,1.92
LENSKART,Consumer Services,505.05,0.28,4655853,4971795,0.94
LICI,Financial Services,430.0,2.83,10970005,6288949,1.74
LINDEINDIA,Chemicals,7275.5,3.51,56800,35026,1.62
LLOYDSME,Metals & Mining,1756.2,0.11,311775,468621,0.67
LODHA,Realty,924.0,1.01,1976049,1987321,0.99
LUPIN,Healthcare,2327.1,2.43,933970,856821,1.09
MMTC,Services,74.95,-1.42,20101099,17758327,1.13
MRF,Automobile and Auto Components,130085.0,0.65,4349,5997,0.73
MGL,Oil Gas & Consumable Fuels,1210.7,0.15,203372,243300,0.84
M&MFIN,Financial Services,296.05,-0.49,3935399,2181937,1.8
M&M,Automobile and Auto Components,3136.5,0.11,2431604,3262219,0.75
MANAPPURAM,Financial Services,321.35,0.72,1397381,2607834,0.54
MRPL,Oil Gas & Consumable Fuels,159.07,-1.24,5737215,7512004,0.76
MANKIND,Healthcare,2406.0,1.77,492313,501275,0.98
MARICO,Fast Moving Consumer Goods,820.75,1.96,3484614,1860739,1.87
MARUTI,Automobile and Auto Components,13484.0,-1.07,373482,391947,0.95
MFSL,Financial Services,1688.2,3.46,1060983,612800,1.73
MAXHEALTH,Healthcare,1090.45,6.27,6871147,3738340,1.84
MAZDOCK,Capital Goods,2533.9,-0.72,838298,714101,1.17
MEESHO,Consumer Services,170.72,3.74,27703278,24828108,1.12
MINDACORP,Automobile and Auto Components,650.9,1.07,327969,993898,0.33
MSUMI,Automobile and Auto Components,37.75,1.56,8025958,9321535,0.86
MOTILALOFS,Financial Services,948.15,0.56,938149,1037629,0.9
MPHASIS,Information Technology,2336.6,-0.15,415249,476210,0.87
MCX,Financial Services,2817.2,-1.4,2626183,3671081,0.72
MUTHOOTFIN,Financial Services,3182.4,-0.26,741827,667179,1.11
NATCOPHARM,Healthcare,883.5,1.89,880697,1019507,0.86
NBCC,Construction,110.15,-2.38,18872619,22414045,0.84
NCC,Construction,154.98,0.4,1166903,1838835,0.63
NHPC,Power,75.94,2.06,49192777,45099293,1.09
NLCINDIA,Power,323.75,4.1,9060982,8269474,1.1
NMDC,Metals & Mining,88.53,0.6,14097527,31288881,0.45
NSLNISP,Metals & Mining,47.11,-1.01,2981345,15303544,0.19
NTPCGREEN,Power,95.84,-1.19,4982269,4236664,1.18
NTPC,Power,361.95,1.8,12259221,12767287,0.96
NH,Healthcare,1869.0,1.41,254540,376547,0.68
NATIONALUM,Metals & Mining,367.75,-0.61,7592323,14672035,0.52
NAVA,Power,607.3,-0.53,251125,372203,0.67
NAVINFLUOR,Chemicals,7303.5,-0.55,101450,152323,0.67
NESTLEIND,Fast Moving Consumer Goods,1400.4,-0.49,1065472,2033777,0.52
NETWEB,Information Technology,5079.6,3.42,3603686,2776925,1.3
NEULANDLAB,Healthcare,17220.0,1.2,25880,36460,0.71
NEWGEN,Information Technology,487.95,-0.02,734914,3883070,0.19
NAM-INDIA,Financial Services,1167.4,1.19,1039688,1075768,0.97
NIVABUPA,Financial Services,87.09,2.82,8128867,1859957,4.37
NUVAMA,Financial Services,1720.4,-0.36,696658,494533,1.41
NUVOCO,Construction Materials,311.95,-2.59,303766,536716,0.57
OBEROIRLTY,Realty,1694.2,-0.04,313624,438782,0.71
ONGC,Oil Gas & Consumable Fuels,245.3,0.12,13813862,17187695,0.8
OIL,Oil Gas & Consumable Fuels,420.6,0.85,3552113,4399688,0.81
OLAELEC,Automobile and Auto Components,42.27,-0.94,73359068,188018619,0.39
OLECTRA,Automobile and Auto Components,1446.6,6.77,3589533,1071348,3.35
PAYTM,Financial Services,1093.9,-2.34,3989118,2170874,1.84
ONESOURCE,Healthcare,1651.2,2.11,117727,220011,0.54
OFSS,Information Technology,9399.5,-0.48,116224,255485,0.45
POLICYBZR,Financial Services,1617.7,-0.42,464067,1682325,0.28
PCBL,Chemicals,306.25,-1.11,919707,967067,0.95
PGEL,Consumer Durables,564.25,3.41,4104329,3831160,1.07
PIIND,Chemicals,2846.0,0.38,185789,400773,0.46
PNBHOUSING,Financial Services,1003.9,0.04,259335,809324,0.32
PTCIL,Capital Goods,17420.0,-1.98,14787,38247,0.39
PVRINOX,Media Entertainment & Publication,956.7,-0.42,129079,171367,0.75
PAGEIND,Textiles,40180.0,2.24,35123,28936,1.21
PATANJALI,Fast Moving Consumer Goods,424.2,1.24,2514429,3049040,0.82
PERSISTENT,Information Technology,4940.5,-2.07,674861,564246,1.2
PETRONET,Oil Gas & Consumable Fuels,288.25,-1.28,3729769,3446926,1.08
PFIZER,Healthcare,4539.3,1.02,20488,27143,0.75
PHOENIXLTD,Realty,1853.7,-0.82,290186,487429,0.6
PWL,Consumer Services,115.02,1.45,6940340,14473433,0.48
PIDILITIND,Chemicals,1581.1,0.18,759724,914229,0.83
PINELABS,Financial Services,149.83,-1.51,10778671,35445833,0.3
PIRAMALFIN,Financial Services,1998.4,-0.74,236432,275173,0.86
PPLPHARMA,Healthcare,160.2,-1.93,3631776,2417657,1.5
POLYMED,Healthcare,1573.2,2.32,87698,236044,0.37
POLYCAB,Capital Goods,9952.5,0.26,264617,264382,1.0
POONAWALLA,Financial Services,404.5,-0.19,2260968,1295764,1.74
PFC,Financial Services,429.3,-0.57,4496053,5915156,0.76
POWERGRID,Power,288.7,0.82,8380981,12872213,0.65
PREMIERENE,Capital Goods,1057.7,0.18,959162,2180668,0.44
PRESTIGE,Realty,1527.7,0.41,1015956,733922,1.38
PNB,Financial Services,109.58,0.65,17433404,20138068,0.87
RRKABEL,Capital Goods,2296.2,3.91,1680841,730828,2.3
RBLBANK,Financial Services,369.25,0.01,5075170,4671703,1.09
RECLTD,Financial Services,358.7,-0.01,4640648,5292420,0.88
RHIM,Capital Goods,370.85,-1.59,89129,997345,0.09
RITES,Construction,212.18,0.04,395808,897961,0.44
RADICO,Fast Moving Consumer Goods,3690.0,3.3,1199421,268400,4.47
RVNL,Construction,247.58,1.0,17272479,12428766,1.39
RAILTEL,Telecommunication,322.7,-0.39,940212,746474,1.26
RAINBOW,Healthcare,1450.0,0.38,83135,106703,0.78
RKFORGE,Automobile and Auto Components,589.2,0.89,188262,379754,0.5
REDINGTON,Services,271.95,9.25,41964427,7248827,5.79
RELIANCE,Oil Gas & Consumable Fuels,1328.1,-0.35,15493506,16382675,0.95
RPOWER,Power,26.66,-0.71,23266223,37724958,0.62
SBFC,Financial Services,91.95,-0.23,691600,876476,0.79
SBICARD,Financial Services,624.95,-0.12,488423,1125643,0.43
SBILIFE,Financial Services,1807.6,0.78,784093,956089,0.82
SJVN,Power,74.21,0.46,3315446,2719265,1.22
SRF,Chemicals,2703.0,-0.09,356118,498614,0.71
SAGILITY,Information Technology,39.83,0.66,11690149,12667843,0.92
SAILIFE,Healthcare,1206.8,-0.55,331622,447527,0.74
