Ticker,Sector,PE_Ratio,EPS_TTM,Market_Cap_Cr,PB_Ratio,ROE_pct,Debt_Equity,Div_Yield,Revenue_Growth,Current_Ratio
GILLETTE,Fast Moving Consumer Goods,47.09423,163.64,25112.0,26.532692,66.44,0.002,233.0,3.2,1.544
GLAND,Healthcare,35.637444,62.28,36613.0,3.5296998,10.53,2.738,90.0,22.3,4.68
GLAXO,Healthcare,35.990036,60.2,36704.0,16.189318,49.11,1.467,261.0,2.1,2.027
GLENMARK,Healthcare,45.18442,48.26,61537.0,6.4217267,,12.776,22.0,15.1,
MEDANTA,Healthcare,59.622463,20.66,33100.0,8.937033,15.03,29.869,4.0,24.5,2.671
GODIGIT,Financial Services,51.584328,5.87,27987.0,5.9601603,11.71,7.469,0.0,22.6,0.105
GPIL,Capital Goods,22.752586,12.57,18607.0,3.0245347,14.87,7.582,35.0,9.7,3.042
GODFRYPHLP,Fast Moving Consumer Goods,22.856558,97.74,34846.0,5.6089363,26.59,3.757,165.0,13.6,2.437
GODREJCP,Fast Moving Consumer Goods,54.84298,18.15,101854.0,8.040843,15.1,34.899,203.0,8.4,0.914
GODREJIND,Diversified,28.451508,36.81,35274.0,3.156296,10.83,222.411,0.0,51.6,1.094
GODREJPROP,Realty,27.607952,61.37,51037.0,2.6636546,9.97,82.119,59.0,63.0,1.274
GRANULES,Healthcare,32.36605,24.45,19609.0,3.8115306,13.52,29.735,22.0,22.8,1.801
GRAPHITE,Capital Goods,79.67706,8.98,13979.0,2.3946984,2.92,6.267,151.0,22.5,3.22
GRASIM,Construction Materials,42.39754,73.2,210471.0,2.113132,6.29,134.138,32.0,10.5,0.947
GRAVITA,Metals & Mining,31.5429,51.98,11942.0,4.8690524,16.68,29.934,64.0,13.1,2.913
GESHIP,Services,7.2515187,205.75,21301.0,1.2558035,18.85,6.409,316.0,23.6,7.133
FLUOROCHEM,Chemicals,68.99981,52.09,39482.0,5.1588697,7.55,28.94,8.0,11.7,1.722
GMDCLTD,Metals & Mining,22.509144,30.07,21524.0,3.0449374,14.19,4.475,151.0,-9.2,4.144
HEG,Capital Goods,27.588652,19.74,10510.0,2.2071726,7.34,16.73,33.0,11.2,2.209
HBLENGINE,Capital Goods,27.087727,29.41,22083.0,9.886326,44.07,3.021,25.0,27.0,3.574
HCLTECH,Information Technology,19.05562,61.31,316101.0,4.185146,23.36,6.935,814.0,5.3,2.217
HDBFS,Financial Services,20.876255,30.87,53388.0,2.5895462,13.94,480.236,62.0,18.4,326.832
HDFCAMC,Financial Services,37.92694,66.52,108145.0,11.711376,32.93,2.364,215.0,3.6,30.242
HDFCBANK,Financial Services,16.819803,44.84,1161283.0,1.9810458,13.82,,172.0,-1.8,
HDFCLIFE,Financial Services,64.830505,8.85,123781.0,6.9615493,11.28,17.46,37.0,-17.7,1.029
HFCL,Telecommunication,547.44446,0.36,30158.0,5.94456,7.27,38.321,5.0,127.8,1.991
HAVELLS,Consumer Durables,43.296215,26.94,73163.0,7.7376733,18.97,2.801,104.0,2.5,1.707
HEROMOTOCO,Automobile and Auto Components,17.03643,286.58,97691.0,4.5195475,28.03,3.57,310.0,30.2,1.909
HEXT,Information Technology,23.412313,22.58,32219.0,4.74969,22.27,10.521,265.0,12.6,1.631
HSCL,Chemicals,42.828552,14.99,32392.0,6.8814716,17.7,16.137,13.0,13.5,2.284
HINDALCO,Metals & Mining,18.682158,60.25,251701.0,1.8292505,10.29,72.598,44.0,20.4,1.21
HAL,Capital Goods,30.714548,136.45,280284.0,6.829637,23.98,0.027,117.0,1.8,2.614
HINDCOPPER,Metals & Mining,57.04953,9.49,52355.0,17.655884,30.6,3.319,45.0,58.1,1.679
HINDPETRO,Oil Gas & Consumable Fuels,4.5631413,84.81,82347.0,1.2563263,30.93,85.369,905.0,4.9,0.642
HINDUNILVR,Fast Moving Consumer Goods,46.04517,45.16,488574.0,10.024296,21.6,3.016,210.0,4.3,1.223
HINDZINC,Metals & Mining,18.449434,32.73,255146.0,11.2765875,76.94,39.034,344.0,40.8,1.472
POWERINDIA,Capital Goods,164.74966,221.7,162801.0,31.453259,21.04,1.663,2.0,46.2,1.548
HOMEFIRST,Financial Services,20.51724,51.62,11063.0,2.5307896,15.71,243.084,49.0,33.7,209.8
HONASA,Fast Moving Consumer Goods,68.25695,6.11,13574.0,9.595738,15.45,9.586,0.0,23.2,1.687
HONAUT,Capital Goods,58.033085,594.23,30510.0,6.833131,12.35,2.476,32.0,5.9,3.518
HUDCO,Financial Services,10.162364,20.14,40973.0,2.269119,20.2,645.775,276.0,6.0,698.066
HYUNDAI,Automobile and Auto Components,28.919485,66.82,157015.0,7.8464813,29.92,5.484,113.0,4.8,1.556
ICICIBANK,Financial Services,16.740671,74.77,897424.0,2.4689045,16.36,,89.0,66.9,
ICICIGI,Financial Services,31.404495,55.18,86490.0,5.3747497,17.85,0.057,80.0,12.2,0.391
ICICIAMC,Financial Services,49.56925,66.86,163807.0,39.26033,85.8,,74.0,8.2,6.836
ICICIPRULI,Financial Services,42.943295,11.11,69135.0,5.0666385,12.58,19.037,35.0,-78.9,1.132
IDBI,Financial Services,8.442129,8.64,78428.0,1.1438699,14.15,,286.0,,
IDFCFIRSTB,Financial Services,38.38298,1.88,62136.0,1.3244985,,,35.0,-1.1,
IFCI,Financial Services,118.8116,0.69,22088.0,2.5415428,,,0.0,,
IIFL,Financial Services,13.681631,38.76,22550.0,1.620033,12.29,446.24,80.0,-14.1,238.982
IRB,Construction,30.428572,0.7,25726.0,1.2048874,4.17,95.6,94.0,-17.2,1.239
IRCON,Construction,21.467615,6.33,12781.0,1.9225273,9.08,85.833,163.0,-6.5,1.651
ITCHOTELS,Consumer Services,39.625,3.92,32355.0,2.9190784,,0.634,66.0,-64.8,
ITC,Fast Moving Consumer Goods,16.977589,16.51,351201.0,4.8439493,29.34,3.292,578.0,-5.0,3.039
ITI,Telecommunication,99.27631,3.04,29059.0,19.275723,,87.135,0.0,-50.3,
INDGN,Healthcare,31.132812,16.64,12450.0,3.9622626,13.94,4.601,38.0,32.8,2.411
INDIACEM,Construction Materials,,-2.18,17687.0,1.1646806,-0.66,12.888,0.0,2.6,1.006
INDIAMART,Consumer Services,25.307104,78.8,11993.0,4.9915895,20.7,0.962,152.0,13.9,2.34
INDIANB,Financial Services,9.633529,86.91,112775.0,1.4087505,15.44,,215.0,1.5,
IEX,Financial Services,22.395308,5.54,11034.0,8.137339,39.42,0.818,324.0,12.5,1.995
INDHOTEL,Consumer Services,45.18784,14.64,94167.0,7.214443,16.43,18.987,50.0,14.5,2.495
IOC,Oil Gas & Consumable Fuels,4.5453057,30.57,196215.0,0.8715861,20.97,58.446,728.0,6.7,0.742
IOB,Financial Services,11.715302,2.81,63393.0,1.7137799,15.65,,0.0,1.9,
IRCTC,Consumer Services,30.281286,17.42,42200.0,9.794456,34.96,1.874,186.0,15.1,2.155
IRFC,Financial Services,17.92164,5.36,125536.0,2.2101557,12.81,773.347,303.0,0.5,18.265
IREDA,Financial Services,18.312035,6.73,34621.0,2.5022843,,565.039,98.0,4.7,89.346
IGL,Oil Gas & Consumable Fuels,14.625452,11.08,22687.0,2.0218341,13.93,0.848,294.0,5.4,1.155
INDUSTOWER,Telecommunication,15.895495,27.08,113518.0,2.8633103,19.81,53.289,0.0,4.8,1.724
INDUSINDBK,Financial Services,79.02012,11.43,70371.0,1.0698988,1.36,,17.0,272.7,
NAUKRI,Consumer Services,45.17913,22.33,65347.0,1.3428236,4.57,0.64,83.0,15.9,2.468
INFY,Information Technology,15.721764,76.41,486359.0,5.2145762,31.44,9.827,409.0,6.6,1.978
INOXWIND,Capital Goods,32.36981,2.65,14825.0,1.6849341,,15.713,0.0,32.5,
INTELLECT,Information Technology,30.17291,24.29,10192.0,3.2022548,11.41,4.961,54.0,16.7,2.107
